experiment,ticker,strategy,pnl,wr,n,avg
H,IREN,btc1_qqq_bull_rsi,16758246,66.7,15,37.28
E,IREN,bb_macd_adx_btc2,16755835,38.9,18,15.94
E,CONL,di_cross_surge_btc2,16711079,28.6,14,9.25
E,IREN,di_cross_surge_btc2,16691033,37.5,16,19.27
I,IREN,rsi_accel_btc2_vol,16656205,66.7,9,43.56
I,TSLL,qqq_strong_macd,16627710,36.4,11,17.64
G,PORTFOLIO,rs_rotation,16626607,60.0,95,8.76
E,CONL,di_cross_surge_btc2,16604870,22.2,18,13.2
E,PTIR,consec3_surge,16599909,62.5,16,14.29
E,IREN,rsi_accel_btc2_vol,16582882,71.4,7,39.44
G,PORTFOLIO,rs_rotation,16582059,63.5,74,7.48
G,PORTFOLIO,rs_rotation,16569009,59.7,62,8.92
E,IREN,consec4_btc1,16521406,70.0,10,33.08
E,IREN,consec3_surge,16483805,66.7,27,12.22
G,PORTFOLIO,rs_rotation,16411296,59.1,66,8.3
E,CONL,mstr_rsi_ret3_btc2,16382944,45.5,11,25.43
G,PORTFOLIO,sector_rotation,16372334,57.5,127,6.45
E,IREN,consec3_surge,16345338,58.3,12,19.99
I,IREN,rsi_accel_btc2_vol,16317286,72.7,11,24.29
E,IREN,all_green_ultra,16246033,85.7,7,46.55
E,IREN,bb_macd_adx_btc2,16244993,70.6,17,23.91
E,NVDL,mstr_over5_ret3_btc,16242027,71.4,7,37.21
G,PORTFOLIO,rs_rotation,16127460,48.9,47,11.45
H,IREN,triple_surge,16091375,77.8,9,59.66
E,CONL,bb_macd_adx_btc2,16040269,30.8,13,11.75
E,CONL,consec3_surge,16032162,33.3,12,14.91
E,NVDL,di_cross_surge_btc2,15999426,46.7,15,13.72
H,IREN,vix_low_btc2,15999242,71.4,14,38.13
E,CONL,bb_macd_adx_btc2,15992271,56.2,16,25.01
I,IREN,triple_regime_strong,15988297,50.0,16,10.15
E,IREN,bb_macd_adx_btc2,15981421,64.3,14,21.99
E,PTIR,mstr_over5_ret3_btc,15976572,75.0,8,39.98
E,IREN,rsi_accel_btc2_vol,15967520,87.5,16,19.98
E,PTIR,mstr_rsi_ret3_btc2,15936477,83.3,6,51.89
E,IREN,rsi_accel_btc2_vol,15896162,58.3,12,18.07
G,PORTFOLIO,rs_rotation,15887645,48.6,35,15.15
E,CONL,di_cross_surge_btc2,15864470,28.6,14,8.53
I,CONL,bb_macd_adx_btc2,15863351,33.3,12,15.59
E,IREN,rsi7_80_btc2,15820109,70.0,10,23.91
E,PTIR,mstr_over5_ret3_btc,15805943,80.0,5,57.82
E,IREN,di_cross_surge_btc2,15805478,66.7,9,28.46
E,IREN,consec3_btc2_vol,15801428,72.7,11,28.76
E,IREN,consec4_btc1,15762213,66.7,6,47.91
E,IREN,consec4_btc1,15748977,70.0,10,39.41
E,CONL,consec4_btc1,15668643,70.0,10,31.37
E,PTIR,bb_macd_adx_btc2,15642793,62.5,8,27.27
G,PORTFOLIO,rs_rotation,15629099,55.9,102,5.11
G,PORTFOLIO,conviction_sizing,15625399,45.9,122,9.38
I,IREN,consec4_btc1,15589780,70.0,10,23.43
I,IREN,bo10_btc2_qqq,15584161,63.6,11,19.14
I,IREN,bb_macd_adx_btc2,15579786,71.4,14,37.13
E,IREN,consec3_btc2_vol,15536925,90.0,10,38.88
H,IREN,soxl_bull_qqq,15533062,62.5,16,32.39
G,PORTFOLIO,rs_rotation,15514494,52.9,102,7.61
G,PORTFOLIO,rs_rotation,15502216,49.1,53,14.64
I,CONL,consec3_surge,15446117,33.3,12,14.78
E,IREN,consec3_surge,15436894,54.2,24,12.06
E,NVDL,bo10_macd_btc2,15427703,66.7,6,35.4
I,IREN,consec3_surge,15422835,80.0,15,34.31
G,PORTFOLIO,rs_rotation,15418873,61.9,113,6.83
E,NVDL,bb_macd_adx_btc2,15415862,43.8,16,11.4
E,IREN,consec3_surge,15409646,66.7,24,16.07
E,IREN,di_cross_surge_btc2,15400347,66.7,12,25.13
H,IREN,vix_fall_qqq_bull,15387039,52.6,19,27.02
G,PORTFOLIO,rs_rotation,15349671,46.7,60,12.8
E,PTIR,di_cross_surge_btc2,15340811,80.0,5,45.31
E,IREN,bo5_vol_btc2_rsi,15328357,50.0,8,32.91
G,PORTFOLIO,rs_rotation,15266583,53.8,52,14.69
E,CONL,consec4_btc1,15266238,50.0,8,39.87
E,IREN,consec3_btc2_vol,15262976,66.7,9,36.74
E,PTIR,bb_macd_adx_btc2,15257565,55.6,9,25.61
E,IREN,di_cross_surge_btc2,15235740,60.0,15,15.16
G,PORTFOLIO,rs_rotation,15213092,56.2,89,5.7
E,IREN,rsi7_80_btc2,15212054,45.5,11,25.91
G,PORTFOLIO,rs_rotation,15208991,54.1,37,20.57
E,IREN,rsi7_80_btc2,15201900,66.7,9,29.47
E,IREN,consec3_surge,15200175,61.5,26,19.51
E,IREN,di_cross_surge_btc2,15195849,61.5,13,29.25
E,PTIR,bo10_macd_btc2,15194440,60.0,5,55.79
E,IREN,rsi_accel_btc2_vol,15162544,72.7,11,27.6
E,PTIR,bo10_macd_btc2,15129576,71.4,7,37.47
E,CONL,consec3_surge,15124662,64.3,14,27.04
E,CONL,mstr5_bo10_btc2,15119911,40.0,10,20.35
E,NVDL,di_cross_surge_btc2,15111341,46.7,15,12.84
E,PTIR,mstr_rsi_ret3_btc2,15084429,75.0,4,79.89
E,PTIR,mstr_over5_ret3_btc,15077792,66.7,6,46.78
E,IREN,bo10_macd_btc2,15071877,50.0,12,17.97
E,IREN,bb_macd_adx_btc2,15070019,43.5,23,13.85
I,BITX,btc3_strong_rsi_accel,15021189,80.0,5,37.07
I,IREN,triple_regime_all,15007442,76.9,13,38.52
G,PORTFOLIO,rs_rotation,15003156,70.0,40,12.52
G,PORTFOLIO,rs_rotation,14999635,50.8,63,11.92
E,IREN,consec3_surge,14992916,63.6,11,45.48
E,CONL,bb_macd_adx_btc2,14974249,43.8,16,15.95
E,CONL,bo10_macd_btc2,14951632,40.0,10,18.99
G,PORTFOLIO,rs_rotation,14941684,59.5,74,6.74
I,BITX,rsi7_80_btc2,14936642,36.4,11,9.39
E,PTIR,mstr_over5_ret3_btc,14908038,75.0,8,46.63
E,CONL,bo5_vol_btc2_rsi,14899818,50.0,8,43.59
E,IREN,mstr_over5_ret3_btc,14895133,53.3,15,24.85
H,IREN,vix_mid_btc1_rsi,14894786,60.0,15,33.13
E,PTIR,di_cross_surge_btc2,14834976,70.0,10,29.7
E,IREN,consec3_surge,14804630,76.5,17,29.06
E,IREN,rsi7_80_btc2,14801926,71.4,14,21.17
G,PORTFOLIO,rs_rotation,14788823,59.4,64,11.57
G,PORTFOLIO,rs_rotation,14785758,49.0,51,9.67
E,IREN,macd_adx_vol_btc2,14780870,83.3,6,49.98
H,IREN,soxl_ret5_pos,14746077,61.5,13,37.85
I,IREN,triple_regime_all,14734694,76.9,13,23.8
E,PTIR,di_cross_surge_btc2,14654619,85.7,7,29.74
E,CONL,bb_macd_adx_btc2,14600001,28.6,14,8.34
G,PORTFOLIO,rs_rotation,14595658,64.8,54,9.02
E,IREN,rsi_accel_btc2_vol,14594059,77.8,9,54.11
E,CONL,rsi_accel_btc2_vol,14587679,44.4,9,28.88
I,IREN,hh_hl_rsi_btc,14565054,62.5,16,30.37
E,PTIR,mstr5_bo10_btc2,14559630,80.0,5,47.58
E,NVDL,bb_macd_adx_btc2,14528552,43.8,16,10.45
F,IREN,hh_hl_rsi_btc,14525653,62.5,16,30.29
E,PTIR,bb_macd_adx_btc2,14522096,66.7,6,35.29
I,CONL,hh_hl_rsi_btc,14488543,56.5,23,10.27
E,NVDL,bo10_macd_btc2,14470544,66.7,9,19.56
E,IREN,consec4_btc1,14467672,58.3,12,16.15
E,IREN,consec3_btc2_vol,14465243,66.7,9,38.67
E,IREN,bo10_macd_btc2,14421742,46.2,13,20.73
G,PORTFOLIO,conviction_sizing,14413301,48.9,176,5.66
I,BITX,consec4_btc1,14398081,57.1,7,23.08
E,CONL,consec4_btc1,14396699,80.0,10,48.04
I,CONL,consec4_btc1,14396699,80.0,10,48.04
E,IREN,bb_macd_adx_btc2,14391383,52.6,19,25.27
E,IREN,rsi_accel_btc2_vol,14386604,66.7,9,32.23
G,PORTFOLIO,rs_rotation,14385181,50.0,42,11.43
E,PTIR,bo10_macd_btc2,14384073,66.7,6,35.83
G,PORTFOLIO,rs_rotation,14383966,56.9,109,6.6
E,PTIR,di_cross_surge_btc2,14372022,57.1,7,28.44
E,IREN,consec3_surge,14330090,36.4,22,9.78
G,PORTFOLIO,rs_rotation,14325128,54.8,93,5.14
H,IREN,triple_regime_all,14314485,69.2,13,36.74
G,PORTFOLIO,rs_rotation,14306322,58.6,70,10.23
E,PTIR,mstr5_bo10_btc2,14281247,60.0,5,52.77
E,CONL,rsi7_80_btc2,14278250,46.2,13,14.12
E,PTIR,consec3_surge,14262497,33.3,9,13.86
H,IREN,soxl_bull_qqq,14260141,66.7,24,19.83
H,IREN,vix_low_btc2,14246170,71.4,14,33.95
E,IREN,di_cross_surge_btc2,14242669,73.3,15,19.01
I,SOXL,consec3_surge,14173606,55.6,9,19.29
E,PTIR,mstr_over5_ret3_btc,14171076,60.0,5,60.99
E,IREN,max_conviction,14151984,55.6,9,22.37
E,PTIR,mstr5_bo10_btc2,14150647,60.0,5,52.03
E,CONL,mstr_over5_ret3_btc,14140764,30.8,13,9.46
E,CONL,consec3_surge,14140228,25.0,16,9.02
H,IREN,vix_mid_btc1_rsi,14111804,73.9,23,20.47
E,CONL,bo5_vol_btc2_rsi,14099096,66.7,6,56.21
G,PORTFOLIO,rs_rotation,14097920,60.0,55,12.83
E,NVDL,bo10_macd_btc2,14071999,66.7,9,24.33
E,NVDL,bb_macd_adx_btc2,14040409,43.8,16,5.49
E,IREN,rsi7_80_btc2,14038395,70.0,10,28.1
G,PORTFOLIO,rs_rotation,14024291,44.7,47,9.96
I,IREN,consec3_surge,14002274,64.3,14,20.28
H,IREN,soxl_ret5_pos,13991660,70.6,17,27.46
G,PORTFOLIO,sector_rotation,13979986,57.3,96,9.72
E,CONL,consec3_surge,13967578,46.2,13,14.65
E,IREN,di_cross_surge_btc2,13965342,52.4,21,22.19
H,IREN,vix_spike_recover,13949276,60.0,20,23.27
E,PTIR,consec3_surge,13944606,58.3,12,15.88
I,BITX,hh_hl_rsi_btc,13931980,33.3,12,9.58
E,IREN,di_cross_surge_btc2,13925867,52.9,17,27.33
F,IREN,hh_hl_rsi_btc,13907383,68.4,19,24.42
F,IREN,bounce_btc1_rsi,13898028,66.7,15,30.92
H,IREN,triple_surge,13888647,80.0,10,46.34
E,PTIR,mstr_rsi_ret3_btc2,13838798,75.0,4,74.36
E,PTIR,mstr_rsi_ret3_btc2,13837338,83.3,6,46.17
E,CONL,rsi_accel_btc2_vol,13816448,30.0,10,21.55
E,IREN,bb_macd_adx_btc2,13815467,66.7,15,30.73
E,CONL,di_cross_surge_btc2,13797925,53.3,15,23.02
E,NVDL,bo10_macd_btc2,13787382,66.7,9,23.86
I,CONL,rsi7_80_btc2,13782859,33.3,12,15.4
E,CONL,bb_macd_adx_btc2,13782578,55.6,18,19.16
E,IREN,bo10_macd_btc2,13760236,62.5,8,29.7
E,NVDL,rsi7_80_btc2,13749701,37.5,8,16.21
G,PORTFOLIO,sector_rotation,13749427,54.5,88,10.43
E,IREN,consec4_btc1,13741814,63.6,11,26.9
E,IREN,consec3_btc2_vol,13741113,70.0,10,24.85
E,NVDL,bb_macd_adx_btc2,13735977,46.2,13,6.76
E,PTIR,btc_strong3d_surge,13704322,100.0,3,89.73
E,NVDL,mstr5_bo10_btc2,13697370,80.0,5,50.59
H,IREN,btc1_qqq_bull_rsi,13683701,64.7,17,26.86
E,CONL,consec3_surge,13682397,27.8,18,8.87
E,IREN,all_green_ultra,13681171,85.7,7,39.13
H,IREN,coin_bull_btc2,13679958,63.6,11,41.5
E,IREN,rsi7_80_btc2,13679313,60.0,10,17.83
I,BITX,consec3_surge,13636987,30.8,13,5.64
E,IREN,mstr_over5_ret3_btc,13634437,55.6,9,32.84
E,CONL,consec3_surge,13611251,23.5,17,12.17
G,PORTFOLIO,rs_rotation,13597769,64.9,57,7.96
E,CONL,mstr5_bo10_btc2,13588625,50.0,12,22.19
E,CONL,mstr_over5_ret3_btc,13588530,33.3,15,15.27
E,NVDL,max_conviction,13561778,100.0,4,63.14
G,PORTFOLIO,sector_rotation,13548044,53.9,76,11.9
E,PTIR,consec3_surge,13527121,62.5,16,16.92
E,CONL,mstr_rsi_ret3_btc2,13522710,41.7,12,22.09
E,IREN,all_green_ultra,13498878,85.7,7,48.26
E,IREN,mstr_rsi_ret3_btc2,13494762,54.5,11,24.29
E,IREN,bb_macd_adx_btc2,13489512,47.8,23,19.57
I,IREN,bb_macd_adx_btc2,13483656,69.2,13,21.16
F,IREN,gap_up3_vol_btc,13469212,69.2,13,34.57
I,IREN,consec3_surge,13431418,66.7,21,13.12
G,PORTFOLIO,rs_rotation,13422633,44.3,61,11.01
E,CONL,max_conviction,13405616,30.0,10,14.9
E,IREN,mstr5_bo10_btc2,13373262,80.0,10,26.77
H,IREN,vix_low_btc2,13357846,63.6,11,40.52
H,IREN,btc1_qqq_bull_rsi,13352381,69.2,26,17.14
G,PORTFOLIO,sector_rotation,13345492,60.2,103,8.65
G,PORTFOLIO,rs_rotation,13341677,46.9,49,13.63
F,IREN,bounce_btc2,13328759,75.0,12,37.06
I,IREN,vix_falling_btc2,13325150,42.1,19,8.51
E,IREN,rsi_accel_btc2_vol,13306833,63.6,11,21.86
E,NVDL,bo10_macd_btc2,13278152,70.0,10,17.96
E,CONL,bo5_vol_btc2_rsi,13278090,50.0,8,44.34
H,IREN,btc1_qqq_bull_rsi,13276402,70.8,24,18.46
I,CONL,di_cross_surge_btc2,13275352,30.8,13,10.17
E,IREN,rsi7_80_btc2,13270275,75.0,16,16.6
E,PTIR,mstr_rsi_ret3_btc2,13265869,83.3,6,55.33
I,CONL,rsi7_80_btc2,13245140,46.2,13,12.87
E,IREN,consec4_btc1,13241670,60.0,10,20.95
E,IREN,rsi_accel_btc2_vol,13240233,46.2,13,22.37
E,IREN,rsi7_80_btc2,13224436,75.0,8,41.37
H,IREN,qqq_strong_consec,13218209,62.5,16,27.57
E,IREN,consec4_btc1,13217125,70.0,10,33.08
H,IREN,triple_regime_all,13206056,69.2,13,33.9
E,IREN,bo10_macd_btc2,13188642,54.5,11,23.36
E,CONL,bo10_macd_btc2,13184406,50.0,12,22.1
E,NVDL,bb_macd_adx_btc2,13173821,50.0,10,10.4
E,CONL,bb_macd_adx_btc2,13158546,50.0,18,24.39
E,IREN,bb_macd_adx_btc2,13155757,58.3,12,36.58
F,IREN,hh_hl_rsi_btc,13145921,66.7,18,24.37
I,IREN,qqq_strong_macd,13144144,47.1,17,11.49
H,IREN,coin_ret5_btc2,13130136,50.0,14,31.29
I,CONL,ma_aligned_btc2_vol,13124543,66.7,6,36.56
G,PORTFOLIO,rs_rotation,13118974,53.6,56,11.73
E,IREN,bb_macd_adx_btc2,13090559,66.7,18,24.27
G,PORTFOLIO,rs_rotation,13086701,58.3,60,7.28
E,NVDL,rsi7_80_btc2,13082238,45.5,11,13.87
E,IREN,consec3_btc2_vol,13080372,77.8,9,48.49
H,IREN,soxl_ret5_pos,13076906,64.7,17,25.67
G,PORTFOLIO,conviction_sizing,13065052,50.3,187,5.04
H,IREN,vix_mid_btc1_rsi,13063202,70.8,24,18.16
E,IREN,max_conviction,13062549,83.3,6,47.79
G,PORTFOLIO,rs_rotation,13055265,60.0,60,7.26
E,CONL,rsi_accel_btc2_vol,13036809,40.0,10,13.12
I,TSLL,hh_hl_rsi_btc,13031762,40.0,10,15.87
I,IREN,hh_hl_rsi_btc,13025912,66.7,18,24.15
G,PORTFOLIO,rs_rotation,13023620,54.7,137,4.76
H,IREN,qqq_strong_macd,13021267,55.6,18,24.14
I,IREN,qqq_strong_macd,13021267,55.6,18,24.14
E,PTIR,consec3_surge,13007977,50.0,10,17.08
