strategy,rebal_days,top_n,target,stop,unit_mul,btc_bull,n,pnl,wr,avg
rs_rotation,3,2,30,-20,1.0,True,95,8313303,60.0,8.76
rs_rotation,10,2,30,-20,2.0,True,53,8295748,50.9,7.83
rs_rotation,7,1,30,-20,2.0,True,38,8283804,63.2,10.91
rs_rotation,5,1,30,-20,3.0,False,58,8228730,50.0,4.73
rs_rotation,7,1,30,-20,2.0,False,46,8210671,54.3,8.93
sector_rotation,0,1,20,-15,1.0,True,127,8186167,57.5,6.45
rs_rotation,10,2,25,-20,3.0,False,66,8179634,53.0,4.14
rs_rotation,5,1,40,-20,2.0,False,53,7999756,45.3,7.55
rs_rotation,10,2,25,-20,2.0,True,54,7900167,55.6,7.32
rs_rotation,10,2,20,-15,2.0,True,57,7762028,56.1,6.82
rs_rotation,3,2,30,-20,1.0,False,102,7757247,52.9,7.61
rs_rotation,3,1,50,-25,1.0,False,53,7751108,49.1,14.64
rs_rotation,3,2,20,-15,1.0,True,113,7709437,61.9,6.83
rs_rotation,7,2,50,-25,1.0,False,60,7674836,46.7,12.8
rs_rotation,10,1,40,-20,2.0,True,31,7636162,48.4,12.33
rs_rotation,3,1,50,-25,1.0,True,52,7633291,53.8,14.69
rs_rotation,7,1,50,-25,1.0,False,37,7604496,54.1,20.57
rs_rotation,3,1,40,-20,1.0,False,63,7499817,50.8,11.92
rs_rotation,5,2,50,-25,1.0,True,64,7394411,59.4,11.57
rs_rotation,5,2,40,-20,2.0,False,72,7305024,41.7,5.08
rs_rotation,10,1,40,-20,3.0,False,38,7277489,42.1,6.39
rs_rotation,5,1,20,-15,2.0,False,68,7245940,55.9,5.33
rs_rotation,3,2,25,-20,1.0,False,109,7191983,56.9,6.6
rs_rotation,5,2,40,-20,1.0,True,70,7153161,58.6,10.23
rs_rotation,7,1,20,-15,2.0,True,44,7074980,65.9,8.05
rs_rotation,7,2,50,-25,1.0,True,55,7048960,60.0,12.83
rs_rotation,5,2,50,-25,1.0,False,61,6711316,44.3,11.01
rs_rotation,10,2,50,-25,1.0,False,49,6670839,46.9,13.63
rs_rotation,3,1,40,-20,1.0,True,56,6559487,53.6,11.73
rs_rotation,10,1,25,-20,3.0,False,43,6537755,55.8,5.07
rs_rotation,3,2,20,-15,1.0,False,137,6511810,54.7,4.76
rs_rotation,10,1,20,-15,3.0,True,34,6474987,55.9,6.35
rs_rotation,10,2,40,-20,2.0,False,57,6349545,42.1,5.58
rs_rotation,7,2,40,-20,1.0,False,69,6347557,47.8,9.21
rs_rotation,10,1,30,-20,2.0,True,33,6347222,51.5,9.63
rs_rotation,5,1,50,-25,1.0,True,44,6233871,56.8,14.18
rs_rotation,5,2,20,-15,1.0,True,85,6219584,63.5,7.32
rs_rotation,3,1,30,-20,1.0,False,72,6158589,55.6,8.56
rs_rotation,5,2,25,-20,1.0,True,78,6139511,64.1,7.88
rs_rotation,7,2,25,-20,1.0,False,85,6069456,57.6,7.15
rs_rotation,7,2,25,-20,1.0,True,65,6046833,63.1,9.31
rs_rotation,3,1,25,-20,1.0,False,77,5926979,58.4,7.71
rs_rotation,5,2,30,-20,2.0,False,80,5883837,47.5,3.68
rs_rotation,7,2,40,-20,1.0,True,59,5881762,57.6,9.98
rs_rotation,7,2,30,-20,1.0,False,78,5879338,53.8,7.55
rs_rotation,10,2,30,-20,2.0,False,63,5796276,47.6,4.6
rs_rotation,5,1,40,-20,1.0,True,48,5753785,58.3,12.0
rs_rotation,7,1,25,-20,1.0,False,52,5704373,63.5,10.98
rs_rotation,3,1,30,-20,1.0,True,64,5695799,56.2,8.91
rs_rotation,7,1,50,-25,1.0,True,32,5675601,59.4,17.75
rs_rotation,10,1,25,-20,2.0,True,33,5621015,57.6,8.53
rs_rotation,5,2,30,-20,1.0,True,74,5612782,59.5,7.59
rs_rotation,7,2,20,-15,1.0,True,74,5527353,63.5,7.48
