ticker,strategy,target,stop,hold,unit_mul,max_pyr,trail,btc_exit,n,pnl,wr,avg,avg_layers
CONL,bb_macd_adx_btc2,60,-25,60,4.0,1,,False,16,15992271,56.2,25.01,1.0
IREN,bb_macd_adx_btc2,100,-30,180,2.0,3,,True,14,15981421,64.3,21.99,2.43
PTIR,mstr_over5_ret3_btc,50,-25,45,5.0,1,,False,8,15976572,75.0,39.98,1.0
IREN,rsi_accel_btc2_vol,30,-15,20,5.0,1,,False,16,15967520,87.5,19.98,1.0
PTIR,mstr_rsi_ret3_btc2,60,-25,60,3.0,3,,False,6,15936477,83.3,51.89,1.83
IREN,rsi_accel_btc2_vol,50,-20,45,3.0,3,,False,12,15896162,58.3,18.07,2.08
CONL,di_cross_surge_btc2,80,-25,90,3.0,3,,False,14,15864470,28.6,8.53,2.14
IREN,rsi7_80_btc2,80,-25,120,2.0,5,,True,10,15820109,70.0,23.91,3.0
PTIR,mstr_over5_ret3_btc,80,-25,90,2.0,5,,False,5,15805943,80.0,57.82,2.8
IREN,di_cross_surge_btc2,60,-25,60,2.0,5,,False,9,15805478,66.7,28.46,3.11
IREN,consec3_btc2_vol,40,-20,30,5.0,1,,False,11,15801428,72.7,28.76,1.0
IREN,consec4_btc1,100,-30,120,2.0,5,,False,6,15762213,66.7,47.91,3.5
IREN,consec4_btc1,60,-25,60,4.0,1,,False,10,15748977,70.0,39.41,1.0
CONL,consec4_btc1,50,-25,45,5.0,1,,False,10,15668643,70.0,31.37,1.0
PTIR,bb_macd_adx_btc2,60,-25,60,3.0,3,,False,8,15642793,62.5,27.27,2.12
IREN,consec3_btc2_vol,50,-25,45,4.0,1,,False,10,15536925,90.0,38.88,1.0
IREN,consec3_surge,100,-30,180,2.0,3,,True,24,15436894,54.2,12.06,1.67
NVDL,bo10_macd_btc2,100,-30,120,2.0,5,,False,6,15427703,66.7,35.4,3.17
NVDL,bb_macd_adx_btc2,80,-25,120,2.0,5,,True,16,15415862,43.8,11.4,2.25
IREN,consec3_surge,40,-20,30,4.0,1,,False,24,15409646,66.7,16.07,1.0
IREN,di_cross_surge_btc2,100,-30,180,2.0,3,,True,12,15400347,66.7,25.13,2.58
PTIR,di_cross_surge_btc2,80,-25,90,2.0,5,,False,5,15340811,80.0,45.31,3.4
IREN,bo5_vol_btc2_rsi,80,-25,90,3.0,3,,False,8,15328357,50.0,32.91,1.62
CONL,consec4_btc1,100,-30,120,2.0,5,,False,8,15266238,50.0,39.87,2.25
IREN,consec3_btc2_vol,60,-25,60,2.0,5,,False,9,15262976,66.7,36.74,2.33
PTIR,bb_macd_adx_btc2,100,-30,180,2.0,5,,True,9,15257565,55.6,25.61,2.44
IREN,di_cross_surge_btc2,50,-20,45,3.0,3,,False,15,15235740,60.0,15.16,2.13
IREN,rsi7_80_btc2,80,-25,90,2.0,3,-15.0,False,11,15212054,45.5,25.91,2.27
IREN,rsi7_80_btc2,60,-25,60,2.0,5,,False,9,15201900,66.7,29.47,3.0
IREN,consec3_surge,60,-25,90,3.0,1,,True,26,15200175,61.5,19.51,1.0
IREN,di_cross_surge_btc2,60,-25,60,4.0,1,,False,13,15195849,61.5,29.25,1.0
PTIR,bo10_macd_btc2,100,-30,120,2.0,5,,False,5,15194440,60.0,55.79,2.6
IREN,rsi_accel_btc2_vol,50,-25,45,5.0,1,,False,11,15162544,72.7,27.6,1.0
PTIR,bo10_macd_btc2,100,-30,180,2.0,5,,True,7,15129576,71.4,37.47,2.29
CONL,consec3_surge,60,-25,60,4.0,1,,False,14,15124662,64.3,27.04,1.0
CONL,mstr5_bo10_btc2,80,-25,90,2.0,5,,False,10,15119911,40.0,20.35,2.3
NVDL,di_cross_surge_btc2,100,-30,180,2.0,5,,True,15,15111341,46.7,12.84,2.33
PTIR,mstr_rsi_ret3_btc2,100,-30,120,2.0,5,,False,4,15084429,75.0,79.89,2.5
PTIR,mstr_over5_ret3_btc,80,-25,120,2.0,5,,True,6,15077792,66.7,46.78,2.33
