ticker,strategy,pos_mode,target,stop,hold,n,pnl,wr,avg
CONL,btc_regime2_rsi,fixed,25,-20,30,28,2566606,53.6,9.18
CONL,btc_momentum_entry,fixed,15,-20,30,33,2562708,66.7,7.77
CONL,not_friday_bull,fixed,15,-15,20,48,2559241,58.3,5.34
IREN,dual_btc_qqq,fixed,20,-20,30,11,2558741,100.0,23.28
IREN,dual_btc_qqq_pct,fixed,20,-20,30,11,2558741,100.0,23.28
NVDL,variable_size_regime_var,variable,25,-15,20,31,2556060,61.3,4.7
CONL,btc_rsi_high_regime,fixed,20,-15,20,36,2541358,55.6,7.07
CONL,not_friday_bull,fixed,15,-20,30,45,2517513,64.4,5.6
ROBN,variable_size_regime_var,variable,25,-15,20,12,2495373,66.7,12.09
PTIR,btc_momentum_entry,fixed,25,-20,30,13,2493194,76.9,19.2
PTIR,btc_regime1plus,fixed,15,-20,30,22,2489462,81.8,11.33
PTIR,btc_regime2_rsi,fixed,20,-20,30,17,2474562,70.6,14.57
CONL,btc_regime2_rsi,fixed,20,-20,30,33,2465509,60.6,7.48
PTIR,btc_regime1plus,fixed,25,-20,30,18,2461799,66.7,13.69
PTIR,not_friday_bull,fixed,15,-20,30,22,2449589,81.8,11.15
CONL,btc_regime2_only,fixed,20,-20,30,34,2446898,58.8,7.2
IREN,btc_regime1plus,fixed,15,-20,30,40,2433928,67.5,6.09
IREN,triple_ma_bull,fixed,25,-20,30,20,2424261,70.0,12.13
CONL,btc_momentum_entry,fixed,15,-15,20,36,2419114,61.1,6.73
PTIR,btc_momentum_entry,fixed,30,-20,45,11,2411148,72.7,21.94
ROBN,variable_size_regime_var,variable,25,-20,30,11,2409437,63.6,12.57
IREN,dual_btc_qqq_strong,fixed,30,-20,45,7,2398174,100.0,34.29
CONL,btc_rsi_high_regime,fixed,25,-20,30,28,2397341,53.6,8.57
CONL,btc_rsi_high_regime,fixed,25,-15,20,32,2394758,53.1,7.49
CONL,btc_momentum_entry,fixed,20,-15,20,34,2391784,58.8,7.04
CONL,btc_momentum_entry,fixed,20,-20,30,31,2386499,61.3,7.71
IREN,btc_regime2_rsi,fixed,20,-15,20,25,2375745,68.0,9.51
IREN,btc_regime2_rsi,fixed,15,-15,20,30,2374307,70.0,7.92
IREN,triple_ma_bull,fixed,20,-20,30,24,2369602,66.7,9.88
PTIR,variable_size_regime,fixed,25,-20,30,18,2368849,66.7,13.17
IREN,btc_regime1plus,fixed,15,-15,20,44,2365970,63.6,5.38
IREN,btc_regime1plus,fixed,25,-15,20,37,2361281,54.1,6.39
NVDL,btc_ret5_pos_regime1,fixed,30,-20,45,18,2360866,61.1,13.13
CONL,btc_regime1plus,fixed,20,-20,30,39,2332633,59.0,5.99
AMDL,dual_btc_qqq_strong,fixed,30,-20,45,7,2326283,85.7,33.27
PTIR,btc_regime2_only,fixed,25,-20,30,14,2324583,71.4,16.62
