ticker,strategy,target,stop,hold,n,pnl,wr,avg
IREN,vol_surge_up,20,-15,20,24,1790901,58.3,7.47
IREN,vol_high_break,25,-20,30,21,1787478,61.9,8.52
NVDL,triple_align_vol,20,-20,30,13,1786012,76.9,13.75
NVDL,triple_ma_align,25,-15,20,19,1785556,68.4,9.41
ROBN,adx_di_cross,25,-20,30,9,1783099,77.8,19.83
ROBN,dual_mom_rsi,25,-20,30,9,1783099,77.8,19.83
CONL,bb_high_pct_vol,15,-10,20,33,1780866,48.5,5.4
ROBN,macd_hist_grow,25,-20,30,10,1780669,80.0,17.82
CONL,breakout20_bull,25,-20,30,18,1778945,55.6,9.89
NVDL,bb_high_pct,15,-10,20,34,1776029,64.7,5.23
ROBN,adx_di_cross,15,-20,30,10,1774255,90.0,17.76
ROBN,dual_mom_rsi,15,-20,30,10,1774255,90.0,17.76
NVDL,bb_high_pct,12,-10,15,36,1766783,66.7,4.91
IREN,bb_mid_up,20,-15,20,16,1766438,68.8,11.05
NVDL,bb_high_pct_vol,25,-20,30,15,1758494,66.7,11.74
IREN,all_green,20,-15,20,15,1758370,66.7,11.73
IREN,triple_ma_align,20,-15,20,19,1757403,57.9,9.26
NVDL,breakout20_bull,20,-20,30,15,1757070,73.3,11.73
NVDL,bb_macd_vol,15,-20,30,18,1754983,77.8,9.76
CONL,adx_trend_up,15,-20,30,15,1754139,80.0,11.71
IREN,breakout_macd_adx,25,-20,30,10,1754084,70.0,17.56
IREN,vol_surge_rsi,15,-20,30,23,1753561,65.2,7.63
IREN,vol_high_break,12,-10,15,22,1748527,72.7,7.96
PTIR,breakout10_rsi,20,-20,30,13,1747377,76.9,13.45
PTIR,macd_cross_bull,15,-20,30,7,1745515,85.7,24.96
ROBN,dual_mom_rsi,30,-20,45,8,1741737,75.0,21.79
ROBN,adx_di_cross,30,-20,45,8,1741737,75.0,21.79
NVDL,triple_align_vol,30,-20,45,10,1738874,80.0,17.41
NVDL,breakout10_rsi,15,-20,30,18,1737884,83.3,9.66
NVDL,macd_positive_rsi,25,-20,30,19,1735252,68.4,9.14
NVDL,triple_align_vol,15,-20,30,14,1730316,85.7,12.37
ROBN,dual_mom_rsi,20,-20,30,9,1728920,88.9,19.23
ROBN,adx_di_cross,20,-20,30,9,1728920,88.9,19.23
IREN,vol_high_break,15,-10,20,22,1728722,68.2,7.87
NVDL,breakout20_bull,15,-20,30,17,1728094,76.5,10.18
PTIR,bb_macd_vol,12,-10,15,15,1726834,80.0,11.52
NVDL,macd_hist_grow,20,-15,20,25,1725722,72.0,6.91
PTIR,breakout20_bull,15,-20,30,12,1723511,83.3,14.38
PTIR,bb_macd_vol,15,-10,20,14,1723210,78.6,12.32
CONL,macd_positive_rsi,12,-10,15,53,1722957,52.8,3.25
IREN,breakout_macd_adx,15,-10,20,12,1712990,83.3,14.29
ROBN,mom20_rsi,15,-20,30,10,1709004,90.0,17.11
