ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
IREN,j_2cond_rsi_vix,60,-25,60,2.0,5,False,14,6445062,57.1,14.93,1.64
CONL,j_btc_rsi_low_trend,80,-25,90,3.0,3,False,10,6397366,30.0,10.11,2.0
CONL,j_btc_rsi_low_trend,80,-25,90,3.0,3,True,12,6311169,41.7,5.23,1.92
PTIR,j_vix_optimal,50,-25,45,3.0,3,False,5,6310263,60.0,19.11,1.6
ROBN,j_vix_optimal,40,-20,20,4.0,1,False,3,6301612,100.0,52.57,1.0
ROBN,j_triple_neutral,40,-20,20,4.0,1,False,3,6301612,100.0,52.57,1.0
MSTX,j_btc_rsi_low_trend,50,-25,45,3.0,3,False,3,6272015,66.7,39.36,1.67
MSTX,j_btc_rsi_low_trend,60,-25,60,3.0,3,False,3,6272015,66.7,39.36,1.67
IREN,j_2cond_rsi_vix,50,-25,45,5.0,1,False,14,6248228,50.0,8.93,1.0
MSTX,j_btc_rsi_low_trend,40,-20,20,4.0,1,False,4,6232439,75.0,38.99,1.0
ROBN,j_di_vix_rsi,40,-20,20,4.0,1,False,4,6206692,75.0,38.83,1.0
MSTX,j_btc_rsi_vix,40,-20,20,4.0,1,False,4,6178799,75.0,38.66,1.0
PTIR,j_di_vix_rsi,30,-15,15,4.0,1,False,8,6170901,75.0,19.3,1.0
ROBN,j_btc_rsi_low_trend,40,-20,30,5.0,1,False,7,6149997,71.4,17.59,1.0
NVDL,j_di_vix_rsi,80,-25,90,3.0,3,False,6,6149119,66.7,14.26,1.67
PTIR,j_btc_rsi_low_trend,40,-20,30,5.0,1,False,12,6118802,50.0,10.21,1.0
PTIR,j_btc_rsi_vix,60,-25,60,2.0,5,False,6,6095630,66.7,26.3,1.67
ROBN,j_di_pullback,60,-25,60,3.0,3,True,5,6075054,60.0,28.97,1.2
ROBN,j_2cond_pull_btcrsi,60,-25,60,3.0,3,True,5,6075054,60.0,28.97,1.2
NVDL,j_btc_rsi_low_trend,60,-25,60,3.0,3,False,8,6047696,62.5,6.94,1.75
NVDL,j_2cond_rsi_vix,40,-20,20,4.0,1,False,22,6046327,59.1,6.88,1.0
ROBN,j_2cond_rsi_vix,60,-25,60,3.0,3,True,24,6006108,41.7,3.03,1.38
ROBN,j_btc_rsi_low_trend,60,-25,60,3.0,3,False,4,5960236,50.0,16.05,2.25
MSTX,j_di_vix_rsi,40,-20,20,4.0,1,False,5,5950007,60.0,29.78,1.0
PTIR,j_2cond_rsi_vix,30,-20,45,2.0,2,False,23,5927838,52.2,9.21,1.3
PTIR,j_btc_rsi_low_trend,30,-15,15,4.0,1,False,14,5900906,57.1,10.55,1.0
NVDL,j_2cond_rsi_vix,60,-25,60,2.0,5,False,11,5893897,63.6,11.65,2.09
PTIR,j_di_vix_rsi,40,-20,30,5.0,1,False,6,5872139,66.7,19.59,1.0
NVDL,j_2cond_rsi_vix,80,-25,90,3.0,3,True,21,5849631,33.3,0.13,1.67
IREN,j_btc_rsi_low_trend,25,-15,20,3.0,1,False,19,5849606,63.2,10.27,1.0
PTIR,j_btc_rsi_low_trend,40,-20,20,4.0,1,False,12,5810882,50.0,12.12,1.0
CONL,j_2cond_rsi_vix,50,-25,45,2.0,3,False,27,5809285,33.3,0.53,1.33
MSTX,j_btc_rsi_low_trend,60,-25,60,2.0,5,False,3,5786594,66.7,43.09,2.0
MSTX,j_vix_optimal,40,-20,20,4.0,1,False,5,5782411,60.0,28.94,1.0
CONL,j_2cond_pull_vix,60,-25,60,3.0,3,False,3,5752755,100.0,63.98,1.0
ROBN,j_vcp_pullback,60,-25,60,2.0,5,False,3,5719651,66.7,39.0,2.0
IREN,j_mstr_below_btc_low,50,-25,45,3.0,3,False,12,5716278,41.7,5.85,2.17
IREN,j_mstr_below_btc_low,60,-25,60,2.0,5,False,10,5713838,40.0,8.3,3.0
ROBN,j_2cond_rsi_vix,40,-20,20,4.0,1,False,20,5707219,50.0,7.14,1.0
MSTX,j_di_vix_rsi,60,-25,60,3.0,3,False,4,5692469,50.0,24.68,1.5
IREN,j_2cond_rsi_vix,80,-25,90,3.0,3,True,26,5626253,30.8,2.03,1.42
ROBN,j_di_vix_rsi,60,-25,60,2.0,5,False,3,5618529,66.7,37.89,2.0
PTIR,j_btc_rsi_low_trend,50,-25,45,5.0,1,False,9,5612526,55.6,12.48,1.0
NVDL,j_mstr_below_btc_low,80,-25,90,2.0,5,False,9,5601891,44.4,2.58,2.67
CONL,j_vix_qqq_pullback,50,-25,45,3.0,3,False,3,5598568,100.0,62.27,1.0
NVDL,j_vcp_pullback,80,-25,90,3.0,3,True,3,5588929,66.7,24.04,2.0
NVDL,j_2cond_rsi_vix,80,-25,90,2.0,5,False,9,5584638,55.6,10.75,2.44
CONL,j_2cond_pull_vix,50,-25,45,3.0,3,False,3,5532636,100.0,61.54,1.0
MSTX,j_btc_rsi_vix,50,-25,45,3.0,3,False,3,5451171,66.7,37.58,2.0
MSTX,j_btc_rsi_vix,60,-25,60,3.0,3,False,3,5451171,66.7,37.58,2.0
MSTX,j_di_vix_rsi,50,-25,45,3.0,3,False,4,5417004,50.0,22.38,1.5
ROBN,j_di_pullback,50,-25,45,3.0,3,False,3,5412680,100.0,42.04,2.0
ROBN,j_2cond_pull_btcrsi,50,-25,45,3.0,3,False,3,5412680,100.0,42.04,2.0
NVDL,j_btc_rsi_low_trend,60,-25,60,3.0,3,True,8,5412065,37.5,8.21,1.75
ROBN,j_di_pullback,80,-25,90,3.0,3,True,4,5410466,50.0,29.66,1.25
ROBN,j_2cond_pull_btcrsi,80,-25,90,3.0,3,True,4,5410466,50.0,29.66,1.25
MSTX,j_di_vix_rsi,60,-25,60,2.0,5,False,4,5400230,50.0,27.48,1.75
ROBN,j_di_pullback,30,-15,15,4.0,1,False,6,5387634,83.3,22.47,1.0
ROBN,j_2cond_pull_btcrsi,30,-15,15,4.0,1,False,6,5387634,83.3,22.47,1.0
ROBN,j_pullback_macd,40,-20,20,4.0,1,False,3,5375733,100.0,44.84,1.0
NVDL,j_di_vix_rsi,80,-25,90,2.0,5,False,6,5354863,66.7,14.61,1.83
MSTX,j_di_vix_rsi,30,-15,15,4.0,1,False,6,5342070,83.3,22.28,1.0
NVDL,j_vcp_pullback,80,-25,90,3.0,3,False,3,5340381,66.7,20.38,2.0
NVDL,j_btc_rsi_low_trend,80,-25,90,3.0,3,True,8,5316048,37.5,7.29,1.75
ROBN,j_pullback_deep_bounce,40,-20,30,5.0,1,False,3,5312956,100.0,35.46,1.0
PTIR,j_btc_rsi_vix,50,-25,45,2.0,3,False,6,5311383,66.7,25.14,1.5
MSTX,j_vix_optimal,60,-25,60,3.0,3,False,4,5302149,50.0,26.94,1.75
ROBN,j_2cond_pull_btcrsi,60,-25,60,2.0,5,False,3,5293249,100.0,56.82,2.0
