ticker,signal,thresh,direction,target,stop,hold,n,pnl,wr,avg
PTIR,mstr_pct_ma20,5,above,15,-15,20,25,2881632,76.0,11.54
PTIR,mstr_pct_ma20,5,above,20,-15,20,21,2871995,71.4,13.69
IREN,mstr_pct_ma20,0,above,25,-20,30,30,2870159,60.0,9.58
CONL,btc_rsi,40,above,30,-20,45,58,2864675,39.7,4.94
CONL,btc_mstr_combo,60,above,12,-10,20,51,2862430,56.9,5.62
PTIR,btc_pct_ma20,0,above,12,-10,20,39,2862199,71.8,7.35
IREN,btc_pct_ma20,-5,above,15,-15,20,69,2857807,58.0,4.15
IREN,mstr_rsi,55,above,30,-20,45,24,2855901,62.5,11.91
IREN,btc_momentum3,0,above,20,-15,20,64,2854771,51.6,4.47
PTIR,mstr_rsi,55,above,12,-10,20,28,2845066,78.6,10.17
IREN,btc_pct_ma20,0,above,15,-20,30,44,2842595,68.2,6.47
IREN,btc_rsi,60,above,20,-20,30,34,2841732,67.6,8.37
CONL,btc_pct_ma20,0,above,20,-20,30,49,2831612,55.1,5.78
PTIR,btc_mstr_combo,60,above,15,-15,20,22,2828802,81.8,12.87
PTIR,btc_rsi,40,above,15,-20,30,34,2814401,70.6,8.29
IREN,btc_momentum3,0,above,30,-20,45,39,2800821,53.8,7.19
IREN,btc_momentum3,0,above,15,-15,20,68,2799962,58.8,4.12
PTIR,btc_rsi,60,above,30,-20,45,14,2798244,71.4,20.01
PTIR,btc_mstr_combo,55,above,15,-20,30,21,2796747,81.0,13.33
IREN,btc_rsi,60,above,12,-10,20,54,2791595,61.1,5.17
IREN,btc_pct_ma20,5,above,30,-20,45,21,2789307,66.7,13.3
IREN,btc_mstr_combo,55,above,25,-15,20,38,2771937,57.9,7.3
PTIR,btc_pct_ma20,0,above,30,-20,45,17,2765915,64.7,16.29
CONL,mstr_rsi,55,above,20,-20,30,39,2765441,56.4,7.1
IREN,btc_rsi,40,above,25,-15,20,58,2763718,50.0,4.77
CONL,mstr_rsi,60,above,30,-20,45,27,2758559,51.9,10.23
IREN,btc_mstr_combo,55,above,15,-20,30,40,2754218,67.5,6.89
IREN,mstr_rsi,55,above,15,-20,30,39,2753177,71.8,7.07
CONL,btc_mstr_combo,60,above,15,-20,30,41,2752286,63.4,6.72
PTIR,btc_mstr_combo,55,above,15,-15,20,26,2750395,69.2,10.59
PTIR,mstr_pct_ma20,0,above,20,-20,30,21,2740391,71.4,13.06
CONL,btc_rsi,60,above,15,-15,20,50,2738128,60.0,5.48
PTIR,btc_rsi,60,above,25,-20,30,17,2736631,70.6,16.11
CONL,btc_rsi,60,above,30,-20,45,31,2735942,51.6,8.83
NVDL,btc_rsi,40,above,25,-15,20,52,2734973,55.8,5.26
PTIR,btc_mstr_combo,60,above,30,-20,45,13,2730762,76.9,21.03
PTIR,mstr_pct_ma20,0,above,15,-20,30,23,2730084,78.3,11.88
PTIR,btc_rsi,60,above,15,-15,20,25,2713818,76.0,10.87
CONL,mstr_pct_ma20,0,above,12,-10,20,75,2712503,56.0,3.62
IREN,btc_mstr_combo,55,above,20,-15,20,41,2703417,58.5,6.6
