ticker,strategy,target,stop,hold,unit_mul,max_pyr,n,pnl,wr,avg,avg_layers
SOXL,bb_macd_adx_btc2,50,-25,45,3.0,3,13,10630543,61.5,6.59,2.15
SOXL,triple_regime_all,50,-25,45,3.0,3,13,10607679,69.2,6.61,2.15
IREN,btc2_qqq_strong_vol,60,-25,60,3.0,1,13,10597311,61.5,27.2,1.0
CONL,bb_macd_adx_btc2,80,-25,90,2.0,3,12,10575568,33.3,15.59,2.25
IREN,triple_regime_strong,40,-20,30,2.0,3,21,10524647,52.4,10.05,1.81
IREN,triple_regime_strong,40,-20,30,3.0,1,22,10513884,54.5,15.95,1.0
IREN,qqq_strong_macd,40,-20,30,3.0,1,25,10490549,56.0,14.0,1.0
IREN,di_cross_surge_btc2,60,-25,60,3.0,1,13,10478595,61.5,26.9,1.0
SOXL,consec3_surge,50,-25,45,3.0,3,16,10422979,56.2,4.71,2.06
IREN,consec4_btc1,50,-25,45,2.0,3,10,10393187,70.0,23.43,1.9
IREN,bo10_btc2_qqq,50,-25,45,2.0,3,11,10389441,63.6,19.14,1.82
IREN,qqq_strong_macd,50,-25,45,3.0,1,20,10306289,60.0,17.19,1.0
IREN,mstr5_btc2_qqq,60,-25,60,3.0,1,14,10299899,57.1,24.55,1.0
CONL,consec3_surge,80,-25,90,2.0,3,12,10297411,33.3,14.78,2.25
IREN,consec3_surge,50,-25,45,2.0,1,15,10281890,80.0,34.31,1.0
CONL,bb_macd_adx_btc2,50,-25,45,3.0,1,16,10244975,56.2,21.37,1.0
IREN,bo10_btc2_qqq,60,-25,60,3.0,1,11,10185183,63.6,30.9,1.0
CONL,btc2_qqq_strong_vol,50,-25,45,3.0,3,15,10134286,40.0,7.1,1.67
BITX,btc3_strong_rsi_accel,80,-25,90,2.0,3,5,10014126,80.0,37.07,2.6
BITX,rsi7_80_btc2,80,-25,90,2.0,3,11,9957761,36.4,9.39,1.82
CONL,qqq_strong_macd,60,-25,60,3.0,1,18,9935022,50.0,18.42,1.0
IREN,rsi7_80_btc2,60,-25,60,3.0,1,8,9918327,75.0,41.37,1.0
IREN,consec4_btc1,50,-25,45,3.0,1,10,9912843,70.0,33.08,1.0
CONL,triple_regime_strong,80,-25,90,3.0,3,14,9706137,28.6,3.97,2.07
IREN,vix_falling_btc2,40,-20,30,2.0,3,23,9656925,56.5,8.49,1.83
BITX,consec4_btc1,80,-25,90,2.0,3,7,9598721,57.1,23.08,1.86
CONL,hh_hl_rsi_btc,80,-25,90,3.0,3,15,9597457,26.7,3.66,2.33
CONL,qqq_strong_macd,50,-25,45,3.0,3,18,9554036,38.9,2.1,2.39
IREN,vix_falling_btc2,60,-25,60,3.0,1,17,9543894,52.9,18.73,1.0
IREN,btc2_qqq_strong_vol,40,-20,30,3.0,1,18,9514636,61.1,17.64,1.0
IREN,bb_macd_adx_btc2,40,-20,30,2.0,3,18,9504255,61.1,13.74,2.11
SOXL,consec3_surge,80,-25,90,2.0,3,9,9449070,55.6,19.29,2.67
CONL,bb_macd_adx_btc2,60,-25,60,3.0,1,16,9448916,50.0,19.7,1.0
BITX,btc2_qqq_strong_vol,80,-25,90,3.0,3,9,9425831,44.4,13.02,2.0
CONL,consec4_btc1,50,-25,45,3.0,1,10,9401186,70.0,31.37,1.0
IREN,ma_aligned_btc2_vol,60,-25,60,3.0,1,8,9389848,75.0,39.16,1.0
BITX,di_cross_surge_btc2,80,-25,90,3.0,3,13,9356227,30.8,2.89,2.15
IREN,rsi_accel_btc2_vol,50,-25,45,3.0,1,11,9329566,72.7,28.3,1.0
CONL,vix_falling_btc2,60,-25,60,3.0,1,21,9329446,47.6,14.82,1.0
BITX,hh_hl_rsi_btc,80,-25,90,2.0,3,12,9287986,33.3,9.58,2.25
SOXL,qqq_strong_macd,80,-25,90,3.0,3,10,9277689,50.0,8.01,2.4
CONL,btc2_qqq_strong_vol,40,-20,30,2.0,3,18,9147016,50.0,12.28,1.56
BITX,consec3_surge,80,-25,90,2.0,3,13,9091325,30.8,5.64,1.92
IREN,ma_aligned_btc2_vol,80,-25,90,3.0,3,6,9060526,50.0,30.31,2.17
SOXL,hh_hl_rsi_btc,50,-25,45,3.0,3,16,9014551,68.8,2.95,2.19
CONL,qqq_strong_macd,50,-25,45,3.0,1,22,9006278,50.0,13.66,1.0
BITX,triple_regime_strong,80,-25,90,3.0,3,13,8909077,30.8,3.57,2.0
IREN,rsi7_80_btc2,40,-20,30,3.0,1,14,8881155,71.4,21.17,1.0
CONL,di_cross_surge_btc2,80,-25,90,2.0,3,13,8850234,30.8,10.17,2.15
IREN,bo10_btc2_qqq,40,-20,30,2.0,3,14,8844812,57.1,15.37,1.71
CONL,rsi7_80_btc2,50,-25,45,2.0,3,13,8830094,46.2,12.87,2.15
CONL,btc2_qqq_strong_vol,60,-25,60,3.0,1,15,8821309,53.3,19.62,1.0
TSLL,vix_falling_btc2,50,-25,45,3.0,3,16,8795708,50.0,3.27,1.94
IREN,triple_regime_all,40,-20,30,2.0,3,17,8791960,58.8,13.46,2.18
CONL,ma_aligned_btc2_vol,50,-25,45,2.0,3,6,8749695,66.7,36.56,1.83
TSLL,hh_hl_rsi_btc,80,-25,90,2.0,3,10,8687841,40.0,15.87,1.9
