ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
PTIR,rsi_accel,50,-25,45,2.0,1,False,9,5653295,88.9,31.44,1.0
IREN,rsi14_65_btc2,50,-25,45,1.0,3,False,11,5640373,54.5,11.41,2.36
IREN,bo10_btc1plus,50,-20,45,1.0,2,True,19,5638215,57.9,13.06,1.63
IREN,bo10_macd_btc,50,-20,45,1.0,2,True,19,5638215,57.9,13.06,1.63
PTIR,bo5_btc2,40,-20,30,2.0,1,False,10,5630990,80.0,28.18,1.0
CONL,ma_align5_btc2,40,-20,30,2.0,1,False,21,5603014,52.4,13.35,1.0
IREN,rsi_accel,40,-20,30,1.0,2,False,22,5600999,54.5,9.93,1.68
NVDL,ma_align60_btc2,30,-20,30,1.5,2,False,13,5599841,76.9,13.37,1.62
IREN,rsi14_65_btc2,50,-25,45,2.0,1,False,12,5589996,66.7,23.31,1.0
IREN,consec3_btc2,30,-20,30,2.0,1,False,17,5584522,70.6,16.44,1.0
PTIR,surge_strong_btc2,50,-20,45,1.0,2,True,12,5570953,58.3,23.81,1.5
NVDL,bo10_macd_btc,40,-20,45,1.0,3,False,12,5540716,58.3,12.02,2.33
CONL,consec2_vol_btc,40,-20,30,2.0,1,False,17,5539054,52.9,16.31,1.0
IREN,ma_align5_btc2,50,-20,45,1.0,2,True,23,5522616,47.8,11.79,1.7
PTIR,consec3_btc2,50,-25,45,2.0,1,False,9,5487974,66.7,30.52,1.0
IREN,ret5_surge_btc,40,-20,30,1.0,2,False,15,5477358,60.0,16.76,1.73
IREN,rsi14_65_btc2,40,-20,30,2.0,1,False,17,5449362,58.8,16.04,1.0
IREN,ret3_strong_btc,30,-20,30,1.0,2,False,25,5449257,56.0,8.67,1.68
PTIR,surge_follow_btc,40,-20,30,1.0,2,False,15,5430343,66.7,14.72,1.73
IREN,consec2_vol_btc,40,-20,30,1.0,2,False,19,5402689,52.6,14.38,1.53
PTIR,bo10_btc1plus,50,-25,45,2.0,1,False,10,5387674,60.0,26.97,1.0
PTIR,surge_strong_btc2,30,-20,30,2.0,1,False,13,5385137,76.9,20.73,1.0
IREN,surge_follow_btc,50,-25,45,2.0,1,False,27,5339071,51.9,9.9,1.0
IREN,surge_follow_btc,40,-20,30,1.5,1,False,31,5332896,58.1,11.48,1.0
IREN,consec2_vol_btc,40,-20,30,1.5,1,False,20,5330100,60.0,17.78,1.0
IREN,rsi_accel,50,-20,45,1.0,2,True,26,5326567,46.2,7.97,1.62
NVDL,ret3_strong_btc,50,-25,45,2.0,1,False,12,5320895,66.7,22.19,1.0
IREN,consec3_btc2,40,-20,30,1.5,1,False,16,5318233,68.8,22.18,1.0
IREN,bo10_macd_btc,50,-25,45,1.0,3,False,17,5314621,41.2,5.95,2.12
IREN,bo10_btc1plus,50,-25,45,1.0,3,False,17,5314621,41.2,5.95,2.12
PTIR,dip_ma5_btc2,50,-25,45,2.0,1,False,9,5307106,66.7,29.51,1.0
PTIR,surge_follow_btc,50,-20,45,1.0,2,True,18,5299594,50.0,12.16,1.56
PTIR,surge_follow_btc,30,-20,30,2.0,1,False,16,5289466,75.0,16.55,1.0
CONL,rsi_accel,30,-20,30,1.0,2,False,22,5279503,54.5,9.68,1.59
IREN,ret5_surge_btc,40,-20,45,1.0,3,False,14,5278623,50.0,9.61,2.21
IREN,surge_follow_btc,40,-20,30,1.5,1,True,44,5273031,40.9,8.0,1.0
PTIR,surge_strong_btc2,40,-20,30,2.0,1,False,11,5268875,72.7,23.97,1.0
PTIR,dip_ma5_btc2,40,-20,30,2.0,1,False,10,5263267,70.0,26.34,1.0
PTIR,bo10_macd_btc,50,-25,45,2.0,1,False,10,5261497,60.0,26.33,1.0
IREN,ret5_surge_btc,30,-20,30,1.0,2,False,15,5255021,60.0,16.02,1.73
NVDL,surge_follow_btc,40,-20,45,1.0,3,False,21,5253109,47.6,2.4,2.0
CONL,ret3_strong_btc,30,-20,30,2.0,1,False,33,5251436,51.5,7.96,1.0
IREN,ret5_surge_btc,50,-25,45,2.0,1,False,13,5251147,61.5,20.22,1.0
NVDL,rsi14_65_btc2,50,-25,45,1.0,3,False,11,5248907,54.5,9.28,2.27
IREN,rsi_accel,40,-20,30,1.5,1,False,23,5245208,56.5,15.22,1.0
IREN,btc_ret3_5pct,50,-25,45,1.0,3,False,12,5230455,58.3,17.91,1.83
CONL,ret3_strong_btc,30,-20,30,1.5,2,False,31,5221228,41.9,2.91,1.61
CONL,consec2_vol_btc,50,-25,45,1.0,3,False,15,5215960,46.7,7.75,1.8
IREN,consec3_btc2,50,-20,45,1.0,2,True,17,5207924,64.7,15.88,1.53
NVDL,surge_follow_btc,50,-25,45,1.0,3,False,21,5203504,47.6,1.69,2.0
IREN,ret3_strong_btc,40,-20,30,1.5,1,False,25,5202697,56.0,13.89,1.0
NVDL,rsi14_65_btc2,30,-20,30,1.5,2,False,16,5181402,62.5,8.11,1.56
IREN,rsi14_65_btc2,30,-20,30,2.0,1,False,20,5179667,65.0,12.96,1.0
IREN,bo5_btc2,40,-20,30,1.5,1,False,17,5171851,64.7,20.3,1.0
NVDL,ret3_strong_btc,50,-25,45,1.0,3,False,10,5169160,80.0,17.43,2.4
PTIR,btc_all_green,30,-20,30,1.5,2,False,7,5164518,85.7,26.49,1.57
PTIR,btc_ret3_5pct,30,-20,30,1.5,2,False,9,5157471,77.8,20.35,1.44
IREN,consec2_vol_btc,30,-20,30,1.0,2,False,21,5153453,61.9,12.21,1.57
PTIR,surge_follow_btc,50,-25,45,2.0,1,False,12,5149428,58.3,21.48,1.0
CONL,ret5_surge_btc,30,-20,30,1.5,2,False,22,5123406,40.9,4.48,1.68
CONL,rsi7_hot_btc2,50,-25,45,2.0,1,False,17,5121971,52.9,15.08,1.0
NVDL,ma_align60_btc2,40,-20,30,2.0,1,False,12,5100644,83.3,21.27,1.0
IREN,ma_btc_ret7,50,-25,45,2.0,1,False,9,5098430,77.8,28.35,1.0
IREN,ma_align60_btc2,40,-20,30,2.0,1,False,13,5072918,69.2,19.53,1.0
IREN,ma_align5_btc2,30,-20,30,1.5,2,False,19,5060203,52.6,9.43,1.79
IREN,consec2_vol_btc,50,-20,45,1.0,2,True,22,5055035,50.0,10.28,1.45
PTIR,bo5_btc2,40,-20,30,1.0,2,False,9,5030292,77.8,26.84,1.67
IREN,rsi14_65_btc2,50,-20,45,1.0,2,True,18,5028506,55.6,12.3,1.56
CONL,rsi7_hot_btc2,40,-20,30,2.0,1,False,19,5015673,47.4,13.21,1.0
PTIR,ret3_strong_btc,40,-20,30,1.0,2,False,14,4997267,64.3,14.24,1.64
NVDL,bo5_btc2,40,-20,45,1.0,3,False,13,4996010,61.5,9.87,2.15
NVDL,ma_align5_btc2,50,-25,45,1.0,3,False,16,4986983,37.5,0.59,1.94
IREN,bo10_btc1plus,40,-20,30,1.5,1,True,20,4985933,60.0,16.64,1.0
IREN,bo10_macd_btc,40,-20,30,1.5,1,True,20,4985933,60.0,16.64,1.0
IREN,btc_ret3_5pct,40,-20,30,2.0,1,False,17,4984293,70.6,14.67,1.0
NVDL,bo5_btc2,50,-25,45,2.0,1,False,12,4973610,66.7,20.74,1.0
CONL,bo10_btc1plus,50,-25,45,1.0,3,False,14,4964968,42.9,6.94,2.5
CONL,bo10_macd_btc,50,-25,45,1.0,3,False,14,4964968,42.9,6.94,2.5
PTIR,rsi_accel,40,-20,45,1.0,3,False,9,4959170,66.7,17.58,2.44
IREN,surge_strong_btc2,50,-25,45,1.0,3,False,18,4955950,50.0,8.66,1.72
CONL,consec3_btc2,30,-20,30,1.5,2,False,21,4944087,47.6,7.95,1.43
PTIR,btc_ret3_5pct,50,-25,45,1.0,3,False,8,4935708,62.5,22.88,1.75
NVDL,rsi_accel,50,-25,45,1.0,3,False,14,4933798,42.9,4.51,2.14
CONL,surge_follow_btc,30,-20,30,1.0,2,False,33,4931450,48.5,4.6,1.64
CONL,bo10_macd_btc,50,-25,45,2.0,1,False,15,4927338,46.7,16.44,1.0
