ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
IREN,coin_pct10_qqq,40,-20,45,3.0,14,10381834,71.4,24.74
PTIR,coin_ret5_btc2,80,-25,90,3.0,8,10378313,62.5,43.29
IREN,vix_fall_qqq_bull,50,-25,45,3.0,23,10375555,56.5,15.05
CONL,btc2_qqq_strong_vol,60,-25,60,3.0,15,10370697,60.0,23.07
IREN,triple_surge,40,-20,30,3.0,13,10363447,69.2,26.6
PTIR,vix_falling_btc2,80,-25,90,3.0,8,10359010,62.5,43.21
IREN,soxl_bull_qqq,60,-25,60,2.0,16,10355375,62.5,32.39
CONL,qqq_strong_macd,15,-15,20,3.0,44,10333341,63.6,7.84
IREN,qqq_strong_macd,50,-25,45,3.0,20,10306289,60.0,17.19
CONL,vix_mid_btc1_rsi,50,-25,60,3.0,16,10282116,56.2,21.44
IREN,vix_spike_recover,80,-25,90,3.0,15,10272394,46.7,22.85
CONL,qqq_strong_macd,60,-25,60,3.0,18,10263510,50.0,19.03
IREN,vix_fall_qqq_bull,30,-20,30,3.0,29,10263230,65.5,11.81
IREN,coin_ret5_btc2,30,-20,30,3.0,26,10261723,65.4,13.17
IREN,vix_fall_qqq_bull,60,-25,60,2.0,19,10258026,52.6,27.02
CONL,vix_mid_btc1_rsi,40,-20,30,3.0,21,10239793,57.1,16.27
IREN,vix_spike_recover,30,-20,30,3.0,32,10220736,62.5,10.66
IREN,btc2_qqq_bull_bo,60,-25,60,3.0,11,10185183,63.6,30.9
IREN,soxl_bull_qqq,50,-25,45,3.0,20,10175866,55.0,16.98
IREN,triple_regime_all,25,-20,30,3.0,23,10172154,69.6,14.76
IREN,soxl_rsi60_qqq,50,-25,45,3.0,22,10151781,54.5,15.4
IREN,btc2_qqq_strong_vol,50,-25,60,3.0,14,10150656,64.3,24.19
IREN,triple_regime_strong,40,-20,30,3.0,22,10143804,54.5,15.38
IREN,vix_falling_btc2,25,-15,20,3.0,32,10141566,59.4,10.57
IREN,btc_qqq_coin_all,60,-25,60,3.0,12,10131543,58.3,28.17
IREN,coin_ret5_btc2,30,-20,45,3.0,25,10123630,64.0,13.51
IREN,btc2_qqq_strong,30,-20,30,3.0,22,10090165,68.2,15.3
CONL,triple_regime_strong,50,-25,60,3.0,20,10085549,55.0,16.83
IREN,qqq_strong_consec,40,-20,45,3.0,20,10038048,60.0,16.75
IREN,qqq_strong_macd,40,-20,45,3.0,21,10027529,61.9,15.93
IREN,vix_falling_btc2,60,-25,60,3.0,19,10009019,47.4,17.58
IREN,soxl_rsi60_qqq,25,-15,20,3.0,37,9975970,62.2,9.0
IREN,soxl_ret5_pos,25,-15,20,3.0,33,9963816,63.6,10.07
IREN,vix_falling_btc2,40,-20,45,3.0,25,9952415,60.0,13.28
IREN,qqq_strong_consec,30,-20,30,3.0,25,9931442,64.0,13.26
IREN,vix_mid_btc1_rsi,60,-25,60,2.0,15,9929857,60.0,33.13
IREN,qqq_strong_consec,40,-20,30,3.0,23,9919537,60.9,14.39
CONL,vix_low_btc2,60,-25,60,3.0,17,9858527,47.1,19.35
IREN,btc_qqq_coin_all,30,-20,45,3.0,18,9852129,72.2,18.26
IREN,triple_regime_strong,30,-20,30,3.0,26,9849202,61.5,12.64
IREN,btc2_qqq_strong,20,-20,30,3.0,21,9845339,76.2,15.64
IREN,soxl_rsi60_qqq,40,-20,45,3.0,24,9837226,58.3,13.68
IREN,soxl_ret5_pos,80,-25,90,2.0,13,9830718,61.5,37.85
PTIR,vix_spike_recover,80,-25,90,3.0,8,9816778,75.0,40.94
IREN,btc2_qqq_strong,25,-20,30,3.0,22,9798471,68.2,14.86
CONL,coin_rsi65_btc2,40,-20,45,3.0,15,9795331,60.0,21.79
IREN,vix_spike_recover,40,-20,30,3.0,31,9774923,58.1,10.52
IREN,soxl_rsi60_qqq,30,-20,30,3.0,32,9764472,62.5,10.18
IREN,coin_pct10_qqq,50,-25,60,3.0,12,9751851,66.7,27.12
IREN,btc2_qqq_bull_bo,40,-20,45,3.0,13,9710296,69.2,24.92
IREN,triple_regime_strong,80,-25,90,3.0,16,9694558,43.8,20.22
CONL,btc2_qqq_strong_vol,40,-20,45,3.0,21,9694317,57.1,15.4
IREN,coin_pct10_qqq,50,-25,45,3.0,13,9690309,61.5,24.87
CONL,qqq_strong_macd,50,-25,60,3.0,21,9673588,52.4,15.37
IREN,soxl_rsi60_qqq,40,-20,30,3.0,29,9660764,55.2,11.12
IREN,triple_surge,25,-20,30,3.0,14,9656457,78.6,23.01
IREN,soxl_rsi60_qqq,50,-25,60,3.0,21,9644893,57.1,15.32
