ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
CONL,bounce_btc1_rsi,40,-20,30,3.0,22,8070062,50.0,12.24
IREN,hh_hl_rsi_btc,30,-20,30,2.0,25,8063798,72.0,16.14
PTIR,gap_up3_btc1,50,-25,45,3.0,9,8047232,77.8,29.83
PTIR,hh_hl_btc2,40,-20,30,3.0,11,8045776,72.7,24.41
IREN,bounce_btc2,15,-20,30,3.0,26,8043433,80.8,10.32
IREN,gap_hh_hl_btc2,50,-20,45,3.0,16,8030827,56.2,16.75
IREN,vcp_squeeze_bo,15,-20,30,3.0,21,8025176,81.0,12.75
IREN,gap_fill_up_btc2,50,-25,45,3.0,12,7992457,66.7,22.22
PTIR,gap_up_btc2,50,-25,45,3.0,10,7961791,70.0,26.57
IREN,hh_hl_rsi_btc,20,-15,20,3.0,29,7949337,65.5,9.15
PTIR,hh_hl_ma_btc2,25,-20,30,3.0,13,7943666,76.9,20.39
NVDL,vcp_squeeze_bo,60,-25,60,3.0,11,7941519,63.6,24.09
CONL,gap_up3_vol_btc,15,-20,30,2.0,28,7917465,75.0,14.15
PTIR,hh_hl_rsi_btc,50,-25,45,3.0,11,7905972,72.7,23.98
CONL,bounce_btc2,30,-20,45,3.0,21,7898242,52.4,12.55
IREN,gap_hh_hl_btc2,60,-25,60,2.0,13,7897152,69.2,30.4
NVDL,vcp_squeeze_bo,20,-20,30,3.0,22,7892645,77.3,11.97
IREN,bounce_btc1_rsi,30,-15,20,3.0,23,7892353,60.9,11.45
PTIR,hh_hl_btc2,60,-25,60,3.0,9,7876776,66.7,29.2
IREN,gap_up_btc2,40,-20,45,2.0,23,7866459,65.2,17.12
PTIR,hh_hl_ma_btc2,30,-20,45,3.0,12,7833411,75.0,21.78
IREN,hh_hl_rsi_btc,30,-15,20,2.0,27,7814994,74.1,14.49
PTIR,hh_hl_rsi_btc,15,-20,30,3.0,20,7812644,80.0,13.03
IREN,gap_fill_up_btc2,50,-20,45,3.0,13,7809629,69.2,20.04
IREN,hh_hl_rsi_btc,25,-15,20,3.0,27,7803907,66.7,9.64
IREN,nr5_bo_btc2,30,-20,45,3.0,8,7802728,100.0,32.54
IREN,vcp_squeeze_bo,40,-20,45,2.0,15,7790830,73.3,26.0
CONL,bounce_btc2,40,-20,30,3.0,19,7775585,47.4,13.66
PTIR,hh_hl_ma_btc2,40,-20,30,3.0,11,7766928,72.7,23.56
PTIR,gap_up3_btc1,50,-20,45,3.0,10,7758262,70.0,25.89
IREN,bounce_btc1_rsi,30,-20,30,2.0,22,7733249,77.3,17.59
IREN,ma10_pull_vol,60,-25,60,2.0,8,7691115,87.5,48.12
CONL,vcp_squeeze_bo,30,-20,45,3.0,15,7676940,66.7,17.08
CONL,gap_up3_vol_btc,50,-20,45,3.0,17,7672078,47.1,15.06
PTIR,gap_up3_btc1,20,-20,30,3.0,15,7657996,80.0,17.03
PTIR,hh_hl_btc2,15,-20,30,3.0,17,7647140,88.2,15.01
IREN,gap_fill_up_btc2,30,-20,30,3.0,16,7637903,75.0,15.93
IREN,hh_hl_ma_btc2,25,-20,30,3.0,23,7637491,65.2,11.08
CONL,hh_hl_btc2,50,-20,45,3.0,23,7632617,43.5,11.07
IREN,bounce_btc2,30,-20,45,3.0,17,7628579,64.7,14.97
CONL,hh_hl_btc2,40,-20,30,3.0,25,7617980,48.0,10.17
PTIR,hh_hl_ma_btc2,60,-25,60,3.0,9,7597928,66.7,28.17
PTIR,bounce_btc2,50,-25,45,3.0,7,7595108,85.7,36.2
CONL,hh_hl_ma_btc2,60,-25,60,2.0,17,7592155,52.9,22.35
CONL,gap_up3_vol_btc,20,-20,30,2.0,25,7589570,72.0,15.19
IREN,hh_hl_btc2,60,-25,60,2.0,15,7576929,60.0,25.28
IREN,bounce_btc1_rsi,40,-20,30,2.0,22,7548794,68.2,17.17
IREN,gap_up_btc2,60,-25,60,2.0,17,7537712,58.8,22.19
IREN,hh_hl_rsi_btc,25,-20,30,2.0,26,7536232,73.1,14.51
IREN,hh_hl_rsi_btc,15,-20,30,2.0,33,7516472,78.8,11.4
IREN,gap_up3_btc1,60,-25,60,2.0,17,7505103,58.8,22.1
IREN,hh_hl_btc2,20,-20,30,3.0,25,7504173,68.0,10.02
IREN,vcp_squeeze_bo,30,-20,45,2.0,16,7502867,81.2,23.47
CONL,hh_hl_btc2,50,-25,45,3.0,21,7497337,47.6,11.91
IREN,gap_up3_btc1,20,-20,30,3.0,30,7491626,66.7,8.33
CONL,hh_hl_btc2,30,-20,45,3.0,28,7487205,50.0,8.92
IREN,hh_hl_ma_btc2,60,-25,60,2.0,15,7479731,60.0,24.96
CONL,bounce_btc1_rsi,25,-20,30,3.0,26,7467940,53.8,9.58
PTIR,gap_up3_btc1,20,-15,20,3.0,15,7466633,80.0,16.61
IREN,ma10_pull_vol,30,-20,45,3.0,10,7462596,80.0,24.9
CONL,hh_hl_rsi_btc,50,-20,45,3.0,22,7462308,45.5,11.32
IREN,gap_fill_up_btc2,40,-20,45,2.0,15,7450379,73.3,24.86
CONL,vcp_squeeze_bo,30,-15,20,3.0,15,7435045,66.7,16.54
IREN,hh_hl_rsi_btc,20,-20,30,2.0,27,7430401,77.8,13.77
IREN,hh_hl_btc2,40,-20,45,2.0,17,7430007,70.6,21.87
PTIR,vcp_squeeze_bo,30,-20,45,3.0,9,7414636,88.9,27.49
CONL,bounce_btc2,60,-25,60,3.0,16,7399636,43.8,15.43
IREN,bounce_btc1_rsi,25,-20,30,2.0,24,7382761,75.0,15.4
NVDL,vcp_squeeze_bo,30,-20,45,3.0,16,7364724,68.8,15.36
PTIR,bounce_btc1_rsi,30,-20,45,3.0,10,7360054,80.0,24.56
CONL,gap_up3_vol_btc,60,-25,60,2.0,14,7354727,64.3,26.29
NVDL,hh_hl_btc2,50,-25,45,3.0,17,7346802,52.9,14.42
PTIR,vcp_squeeze_bo,50,-20,45,3.0,8,7345395,75.0,30.64
IREN,vcp_squeeze_bo,20,-15,20,3.0,20,7342786,65.0,12.25
IREN,gap_up3_btc1,25,-20,30,3.0,29,7319444,62.1,8.42
CONL,hh_hl_rsi_btc,40,-20,30,3.0,26,7305492,46.2,9.38
PTIR,hh_hl_btc2,30,-20,30,3.0,12,7275075,75.0,20.23
CONL,hh_hl_rsi_btc,50,-25,45,3.0,21,7269779,47.6,11.55
IREN,hh_hl_ma_btc2,15,-20,30,3.0,28,7262456,75.0,8.65
CONL,gap_up3_vol_btc,40,-20,30,2.0,18,7246776,61.1,20.15
CONL,gap_up3_vol_btc,20,-15,20,2.0,25,7218733,68.0,14.45
IREN,gap_up3_btc1,30,-20,30,3.0,28,7206546,57.1,8.59
IREN,hh_hl_ma_btc2,40,-20,45,2.0,17,7201896,70.6,21.2
CONL,gap_up3_vol_btc,30,-20,45,2.0,19,7188477,63.2,18.94
CONL,hh_hl_btc2,40,-20,45,2.0,25,7179697,48.0,14.37
PTIR,gap_up3_btc1,40,-20,45,3.0,10,7165865,70.0,23.91
IREN,ma10_pull_vol,30,-20,30,3.0,10,7163356,80.0,23.9
IREN,gap_up3_vol_btc,20,-20,30,3.0,23,7143585,65.2,10.36
CONL,vcp_squeeze_bo,40,-20,45,3.0,13,7131772,61.5,18.3
CONL,vcp_squeeze_bo,30,-20,30,3.0,15,7127516,66.7,15.85
IREN,nr5_bo_btc1_rsi,60,-25,60,3.0,7,7117925,71.4,33.93
